id,date_appel,entite,famille,nombre_entrants_corrige
12,2019-01-02,Entite 1,F2,165
13,2019-01-02,Entite 1,F3,54
14,2019-01-02,Entite 1,F4,1
15,2019-01-02,Entite 1,F5,99
16,2019-01-02,Entite 1,F6,1487
17,2019-01-02,Entite 1,F7,808
18,2019-01-02,Entite 2,F1,1479
19,2019-01-02,Entite 2,F2,895
20,2019-01-02,Entite 2,F3,41
21,2019-01-02,Entite 3,F2,12
22,2019-01-02,Entite 3,F5,297
23,2019-01-02,Entite 3,F7,813
24,2019-01-02,Entite 4,F5,42
25,2019-01-02,Entite 4,F7,337
26,2019-01-02,Entite 5,F1,2
27,2019-01-02,Entite 5,F2,777
28,2019-01-02,Entite 5,F3,38
29,2019-01-02,Entite 5,F5,579
30,2019-01-02,Entite 5,F6,873
31,2019-01-02,Entite 5,F7,4222
32,2019-01-03,Entite 1,F2,167
33,2019-01-03,Entite 1,F3,46
34,2019-01-03,Entite 1,F5,123
35,2019-01-03,Entite 1,F6,1440
36,2019-01-03,Entite 1,F7,777
37,2019-01-03,Entite 2,F1,1551
38,2019-01-03,Entite 2,F2,940
39,2019-01-03,Entite 2,F3,12
40,2019-01-03,Entite 3,F2,7
41,2019-01-03,Entite 3,F5,396
42,2019-01-03,Entite 3,F7,773
43,2019-01-03,Entite 4,F5,38
44,2019-01-03,Entite 4,F7,328
45,2019-01-03,Entite 5,F2,777
46,2019-01-03,Entite 5,F3,27
47,2019-01-03,Entite 5,F5,523
48,2019-01-03,Entite 5,F6,911
49,2019-01-03,Entite 5,F7,3888
50,2019-01-04,Entite 1,F1,1
51,2019-01-04,Entite 1,F2,192
52,2019-01-04,Entite 1,F3,49
53,2019-01-04,Entite 1,F5,125
54,2019-01-04,Entite 1,F6,1482
55,2019-01-04,Entite 1,F7,763
56,2019-01-04,Entite 2,F1,1651
57,2019-01-04,Entite 2,F2,884
58,2019-01-04,Entite 2,F3,14
59,2019-01-04,Entite 3,F2,27
60,2019-01-04,Entite 3,F5,405
61,2019-01-04,Entite 3,F7,738
62,2019-01-04,Entite 4,F5,47
63,2019-01-04,Entite 4,F7,389
64,2019-01-04,Entite 5,F2,752
65,2019-01-04,Entite 5,F3,36
66,2019-01-04,Entite 5,F5,483
67,2019-01-04,Entite 5,F6,771
68,2019-01-04,Entite 5,F7,4044
69,2019-01-05,Entite 1,F2,16
70,2019-01-05,Entite 1,F3,26
71,2019-01-05,Entite 1,F5,17
72,2019-01-05,Entite 1,F6,582
73,2019-01-05,Entite 1,F7,242
74,2019-01-05,Entite 2,F1,405
